sõnu uudises,esimene isik,negatiivsus,kordaja,positiivsus,väljaanne,link
114,1,27,24.56,3,Uued Uudised,https://uueduudised.ee/arvamus/repliik/delfi-retoorika-valitsusele-molli/
2832,23,537,19.77,16,Telegram,https://www.telegram.ee/maailm/suur-ulevaade-usa-osalusega-sojad
52,7,3,19.23,1,Eesti Päevaleht,https://epl.delfi.ee/uudised/fotod-lasnamae-keeleoskamatu-koolijuht-mulle-lihtsalt-ei-jaa-see-eesti-keel-kulge-psuhholoogiline-susteem-hakkab-vastu?id=91411233
82,2,13,18.29,2,Delfi,https://www.delfi.ee/news/paevauudised/eesti/viru-vanglas-on-juba-107-nakatunut?id=91573623
71,8,4,16.9,1,Telegram,https://www.telegram.ee/maailm/tony-robbinsi-intervjuu-nobeli-preemia-laureaadiga-juba-kriisi-alguses-oli-selge-et-paanikaks-pole-pohjust
67,3,8,16.42,1,Telegram,https://www.telegram.ee/teadus-ja-tulevik/veel-toendeid-et-sars-cov-2-viirus-parineb-toenaoliselt-laborist
186,6,24,16.13,3,Uued Uudised,https://uueduudised.ee/uudis/eesti/mart-helme-teeb-ettepaneku-karmistada-liiklusmorvarite-karistusi/
153,1,23,15.69,6,Delfi,https://www.delfi.ee/news/paevauudised/krimi/61-aastase-naise-vagistanud-ja-tapnud-noormees-laheb-12-aastaks-trellide-taha?id=91181623
53,1,7,15.09,0,Telegram,https://www.telegram.ee/maailm/politseivagivald-usa-s-argitab-kogukonnajuhte-suunama-politsei-rahastust-umber-sotsiaalteenustesse
100,8,7,15.0,2,Eesti Päevaleht,https://epl.delfi.ee/valismaa/intervjuu-turgi-suursaadik-venemaa-ei-ole-meie-vaenlane?id=90520759
67,3,7,14.93,1,Eesti Päevaleht,https://epl.delfi.ee/uudised/tarraste-tulistas-mootorratturit-ka-parast-tema-elumarkide-kontrollimist?id=90136941
136,14,6,14.71,1,Delfi,https://www.delfi.ee/news/paevauudised/eesti/video-kaljulaid-polluaas-ja-ratas-poorduvad-koos-rahva-poole-pingutame-uhiselt-et-riiki-ei-peaks-lukku-panema?id=91665531
123,2,16,14.63,3,Delfi,https://www.delfi.ee/news/paevauudised/eesti/viru-vangla-iga-neljas-kinnipeetu-on-nakatunud-koroonaviirusega?id=91602977
55,4,4,14.55,0,Telegram,https://www.telegram.ee/nwo/karm-multikas-inimene-looduse-kuningas
70,5,5,14.29,2,Telegram,https://www.telegram.ee/nwo/2019-aasta-sugisel-wuhanis-toimunud-sojavaelaste-maailmamangudel-osalejad-viisid-koroonaviiruse-laia-maailma
77,9,2,14.29,2,Telegram,https://www.telegram.ee/arvamus/statistikat-suletud-uste-tagant-ehk-dr-maueri-covid-19-perspektiiv
242,18,16,14.05,6,Delfi,https://www.delfi.ee/news/paevauudised/eesti/euroopa-komisjon-alustas-eesti-suhtes-vihakone-rikkumismenetlust?id=91524969
107,10,5,14.02,4,Telegram,https://www.telegram.ee/eesti/janika-veski-hannes-vorno-saates-aeg-on-mmsist-tode-raakida
122,2,15,13.93,0,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/hiina-armee-tappis-kasmiiris-kolm-india-sodurit?id=90182725
490,38,29,13.67,15,Telegram,https://www.telegram.ee/maailm/hamburg-eppendorfi-ulikooli-kohtumeditsiini-instituudi-direktor-dr-klaus-puschel-me-peame-tagasi-normaalsusesse-poorduma
873,107,9,13.29,45,Telegram,https://www.telegram.ee/arvamus/annamaria-venski-mida-ma-eestile-tegelikult-soovin
158,1,20,13.29,7,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/soome-vanglast-pogenes-vang-kes-kasutas-ara-sarnasust-teise-vabanema-pidanud-kinnipeetuga?id=90444735
98,1,12,13.27,1,Delfi,https://www.delfi.ee/news/paevauudised/eesti/tallinna-vanglas-on-juba-neli-ametnikku-andnud-positiivse-koroonaproovi?id=91557271
121,2,14,13.22,1,Uued Uudised,https://uueduudised.ee/uudis/mart-helme-soovib-roolijoodikutele-karmimaid-karistusi/
106,1,13,13.21,3,Delfi,https://www.delfi.ee/news/paevauudised/eesti/vanglast-on-vabanenud-kuus-koroonaviiruse-kandjat-terviseamet-votab-valvekorra-ule?id=91658911
253,19,14,13.04,5,Uued Uudised,https://uueduudised.ee/uudis/eesti/fotod-mart-helme-erakonna-talvepeol-iga-meie-saavutus-toob-juurde-neid-kes-moistavad-et-me-voitleme-eesti-pusimise-eest/
85,0,11,12.94,4,Delfi,https://www.delfi.ee/news/paevauudised/krimi/koroonaviirus-levib-vanglas-suure-hooga-viru-vanglas-165-nakatunut-ja-kolm-haiglaravil-tallinna-vanglas-kuus-juhtumit?id=91592253
70,5,4,12.86,1,Telegram,https://www.telegram.ee/nwo/shiva-ayyadurai-farmaatsiatoostus-kasutab-ara-inimeste-hirmu-ja-ignorantsust
548,4,66,12.77,14,Uued Uudised,https://uueduudised.ee/arvamus/demoniseerimine-poliitilise-voitluse-vottena-viib-oponendid-kaevikutesse/
181,8,15,12.71,3,Uued Uudised,https://uueduudised.ee/uudis/eesti/sotside-ja-reformierakonna-piinlik-etendus-sai-oodatud-lopu-umbusaldusavaldus-mart-jarviku-vastu-kukkus-labi/
158,0,20,12.66,6,Delfi,https://www.delfi.ee/news/paevauudised/eesti/pae-tanava-pommimees-vabanes-parast-15-aastat-vanglast?id=91637427
216,16,11,12.5,4,Uued Uudised,https://uueduudised.ee/arvamus/repliik/laanelikus-ruumis-rassismiks-nimetatav-nahtus-on-suurel-maaral-hoopis-kultuuride-konflikt/
176,16,6,12.5,4,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/tsihhanovskaja-kutsus-oma-poordumises-vagivallast-hoiduma?id=90686433
514,39,25,12.45,18,Uued Uudised,https://uueduudised.ee/arvamus/harri-kingo-andrus-karnaud-kommenteerides-tabude-kaotamine-ei-vii-mitte-vabaduse-vaid-kaose-poole/
89,0,11,12.36,2,Eesti Päevaleht,https://epl.delfi.ee/valismaa/tuntud-advokaadi-morv-on-lati-viimaste-aastate-kolmas-samalaadne-juhtum?id=91094515
219,5,22,12.33,4,Telegram,https://www.telegram.ee/maailm/jaapanlased-noudsid-tuumakatastroofi-suudlaste-vastutusele-votmist
65,3,5,12.31,1,Eesti Päevaleht,https://epl.delfi.ee/uudised/estonia-komisjoni-eksjuht-margus-kurm-rootsi-valetas-meile-otse-nakku?id=91179213
481,48,11,12.27,25,Telegram,https://www.telegram.ee/maailm/joaquin-phoenix-teineteist-toetades-oleme-parimad-versioonid-endast
131,4,12,12.21,6,Telegram,https://www.telegram.ee/nwo/sojaveteran-kutsub-ules-sodades-mitte-osalema
172,1,20,12.21,2,Uued Uudised,https://uueduudised.ee/uudis/maailm/lapse-surm-tulistamises-vallandas-rootsis-pahameeletormi-kusjuures-kriminaalse-olukorra-taga-on-sisserandajate-kuritegevus/
115,3,11,12.17,2,Uued Uudised,https://uueduudised.ee/uudis/komisjon-otsustas-et-ekre-ei-saanud-keelatud-annetusi-m-o-t-t/
222,10,17,12.16,5,Delfi,https://www.delfi.ee/news/paevauudised/eesti/president-peame-uhiskonnas-arutama-ja-tosiselt-hindama-kui-pohjalikult-tehakse-relvaomanike-tausta-ja-tervisekontrolle?id=90100325
108,4,9,12.04,3,Eesti Päevaleht,https://epl.delfi.ee/uudised/magi-rohtmets-aivar-mae-ohvritel-tasub-kaaluda-ka-estonia-vastu-kohtusse-poordumist?id=91442646
108,1,12,12.04,1,Uued Uudised,https://uueduudised.ee/uudis/eesti/mart-helme-avaldab-kaastunnet-tules-hukkunute-lahedastele-tana-on-vaga-kurb-paev/
200,3,21,12.0,2,Delfi,https://www.delfi.ee/news/paevauudised/eesti/viru-vanglas-on-koroonaviirus-diagnoositud-juba-55-vangil-osasid-testitulemusi-alles-oodatakse?id=91519311
401,39,9,11.97,9,Telegram,https://www.telegram.ee/arvamus/jurgen-rooste-hei-harra-president
92,4,7,11.96,3,Delfi,https://www.delfi.ee/news/paevauudised/eesti/kas-on-pohjust-paanikaks-viroloog-irja-lutsar-selgitab-mis-seis-on-koroonaviirusega-eestis?id=90691633
67,6,2,11.94,1,Telegram,https://www.telegram.ee/nwo/saagem-tuttavaks-maailma-esiskeptik-john-le-bon
176,8,13,11.93,9,Uued Uudised,https://uueduudised.ee/uudis/maailm/eesti-on-koroonavolakirjade-vastu-kuid-toetab-muud-voimete-piires-abistamist/
193,9,14,11.92,8,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/video-trump-nimetas-rahutusi-siseterrorismiks-ja-ahvardas-saata-tanavatele-sojavae?id=90043615
563,41,26,11.9,15,Delfi,https://www.delfi.ee/news/paevauudised/eesti/keskerakonnale-50-000-eurot-annetanud-endine-paar-meil-pole-midagi-varjata-oleme-raakinud-kogu-toe?id=90159275
126,11,4,11.9,4,Delfi,https://www.delfi.ee/news/paevauudised/eesti/professor-everaus-mone-nadala-parast-on-voimalik-ennustada-koroonaviiruse-teise-laine-tulekut?id=90351375
59,0,7,11.86,1,Telegram,https://www.telegram.ee/arvamus/merle-martinson-vaktsiinidest-enne-vene-ruleti-mangimist-voiks-olla-koikidest-tingimustest-teadlik
93,3,8,11.83,2,Telegram,https://www.telegram.ee/maailm/usa-senaator-tuleb-eeldada-et-koik-sojaveteranid-on-vaimselt-haiged
102,2,10,11.76,0,Eesti Päevaleht,https://epl.delfi.ee/valismaa/piirialadel-valatud-veri-teeb-hiina-ja-india-taganemistee-raskeks?id=90200379
